Cell Index, Cell Type, Volume, Top Surface Area (top Periclinal cell wall), Bottom Surface Area (bottom Periclinal cell wall), Top/Bottom ratio, Max anisotropy length, Max/Mid anisotropy, Max/Min anisotropy, Max anisotropy eigenVec x, Max eigenVec anisotropy y, Max eigenVec anisotropy z
331, pSMC, 144.459, -1, -1, -1, 6.29459, 1.97555, 2.69436, 0.499391, 0.115947, 0.858583
274, pSMC, 118.044, -1, -1, -1, 4.86435, 1.1914, 2.70587, 0.816827, -0.542469, -0.196267
