Cell Index, Cell Type, Volume, Top Surface Area (top Periclinal cell wall), Bottom Surface Area (bottom Periclinal cell wall), Top/Bottom ratio, Max anisotropy length, Max/Mid anisotropy, Max/Min anisotropy, Max anisotropy eigenVec x, Max eigenVec anisotropy y, Max eigenVec anisotropy z
354, pSMC, 252.941, -1, -1, -1, 10.0389, 1.95565, 3.6732, -0.0278102, 0.0301836, -0.999157
293, pSMC, 129.866, -1, -1, -1, 7.20127, 2.78049, 3.35972, 0.213789, 0.199817, -0.956226
